loan_id,app_id,customer_id,disbursed_date,principal,tenure_months,interest_rate,risk_score
LOAN0001628,APP0003448,CUST002112,2025-12-09,101000,9,16.33,236.6
LOAN0001629,APP0003449,CUST001388,2025-08-10,26000,12,18.65,139.6
LOAN0001630,APP0003450,CUST000288,2025-10-18,57000,9,17.71,259.3
LOAN0001631,APP0003451,CUST000012,2026-05-19,135000,18,16.58,182.6
LOAN0001632,APP0003453,CUST000520,2025-08-14,219000,18,16.55,244.0
LOAN0001633,APP0003455,CUST000462,2025-11-27,184000,12,14.94,125.8
LOAN0001634,APP0003456,CUST001221,2025-09-24,124000,6,18.91,199.9
LOAN0001635,APP0003457,CUST000926,2025-10-25,51000,9,17.57,210.8
LOAN0001636,APP0003458,CUST000323,2026-01-09,57000,36,19.69,301.2
LOAN0001637,APP0003459,CUST000565,2026-01-06,50000,12,19.13,261.1
LOAN0001638,APP0003461,CUST001531,2026-04-05,89000,36,19.48,209.1
LOAN0001639,APP0003462,CUST001260,2026-03-25,67000,24,20.11,307.5
LOAN0001640,APP0003464,CUST002260,2025-12-17,25000,12,19.1,260.0
LOAN0001641,APP0003465,CUST001449,2026-06-18,91000,18,17.16,185.6
LOAN0001642,APP0003467,CUST000013,2025-12-16,71000,12,16.19,198.4
LOAN0001643,APP0003469,CUST002383,2025-12-15,96000,18,15.63,170.4
LOAN0001644,APP0003470,CUST000271,2026-01-23,93000,18,19.42,306.6
LOAN0001645,APP0003471,CUST001966,2025-09-18,83000,18,20.07,285.0
LOAN0001646,APP0003472,CUST000590,2026-03-13,9000,18,19.8,362.7
LOAN0001647,APP0003475,CUST000204,2026-03-04,32000,6,19.09,372.4
LOAN0001648,APP0003477,CUST000016,2026-06-20,75000,24,19.7,303.0
LOAN0001649,APP0003478,CUST000254,2026-06-07,72000,9,15.45,50.0
LOAN0001650,APP0003482,CUST000358,2025-10-23,83000,24,21.28,354.4
LOAN0001651,APP0003483,CUST000414,2025-11-20,78000,9,16.22,212.0
LOAN0001652,APP0003484,CUST002075,2025-10-22,58000,18,17.42,181.9
LOAN0001653,APP0003485,CUST002133,2025-12-19,74000,6,18.35,263.9
LOAN0001654,APP0003487,CUST001099,2026-03-22,56000,36,11.74,88.9
LOAN0001655,APP0003488,CUST000100,2025-12-29,124000,12,14.64,160.1
LOAN0001656,APP0003489,CUST001735,2026-02-04,120000,9,16.21,241.9
LOAN0001657,APP0003491,CUST000535,2026-03-04,146000,12,14.26,154.3
LOAN0001658,APP0003493,CUST000593,2026-05-25,67000,24,15.86,127.2
LOAN0001659,APP0003494,CUST002230,2026-06-08,14000,18,21.51,322.3
LOAN0001660,APP0003498,CUST000708,2025-12-03,44000,6,18.7,259.9
LOAN0001661,APP0003499,CUST001694,2026-03-09,158000,12,16.35,150.4
LOAN0001662,APP0003503,CUST000218,2026-03-06,94000,12,17.56,286.6
LOAN0001663,APP0003505,CUST000794,2026-03-27,97000,9,14.89,153.1
LOAN0001664,APP0003506,CUST001899,2025-11-25,64000,24,14.59,118.8
LOAN0001665,APP0003510,CUST002049,2026-01-04,83000,12,17.6,272.8
LOAN0001666,APP0003512,CUST001268,2025-07-19,31000,24,19.01,283.9
LOAN0001667,APP0003514,CUST001415,2026-04-17,294000,36,19.8,271.2
LOAN0001668,APP0003515,CUST001510,2025-07-11,121000,18,18.59,264.0
LOAN0001669,APP0003516,CUST000528,2026-01-26,27000,12,15.85,127.2
LOAN0001670,APP0003519,CUST002322,2026-06-14,88000,9,20.81,336.8
LOAN0001671,APP0003521,CUST000017,2025-07-21,100000,18,16.64,176.2
LOAN0001672,APP0003523,CUST002340,2026-06-26,142000,12,17.02,173.1
LOAN0001673,APP0003524,CUST001265,2025-11-12,110000,12,15.02,167.1
LOAN0001674,APP0003526,CUST001206,2026-04-28,60000,18,20.12,360.1
LOAN0001675,APP0003530,CUST000538,2026-04-20,68000,24,18.27,167.6
LOAN0001676,APP0003535,CUST000704,2025-07-19,59000,9,18.16,182.7
LOAN0001677,APP0003538,CUST002207,2025-07-26,66000,12,19.55,268.7
LOAN0001678,APP0003540,CUST000815,2026-03-06,61000,12,19.14,238.1
LOAN0001679,APP0003541,CUST001150,2025-08-06,165000,18,15.66,133.8
LOAN0001680,APP0003542,CUST000536,2026-04-07,23000,12,14.7,153.8
LOAN0001681,APP0003546,CUST000515,2025-10-27,193000,12,19.78,224.0
LOAN0001682,APP0003547,CUST001240,2025-11-09,86000,12,15.08,177.4
LOAN0001683,APP0003554,CUST001696,2025-09-28,74000,12,15.77,152.9
LOAN0001684,APP0003556,CUST000463,2026-06-28,48000,24,17.44,260.8
LOAN0001685,APP0003559,CUST001843,2025-08-28,37000,18,17.31,265.3
LOAN0001686,APP0003561,CUST001728,2025-10-24,221000,12,17.92,183.0
LOAN0001687,APP0003562,CUST000201,2026-04-02,111000,24,17.59,245.9
LOAN0001688,APP0003563,CUST002378,2026-02-22,77000,12,20.29,309.7
LOAN0001689,APP0003566,CUST001704,2026-04-16,142000,9,20.18,318.9
LOAN0001690,APP0003569,CUST000703,2026-04-28,87000,12,15.32,216.1
LOAN0001691,APP0003570,CUST001012,2025-08-12,37000,24,15.31,159.5
LOAN0001692,APP0003573,CUST002386,2026-03-24,32000,18,17.78,219.6
LOAN0001693,APP0003574,CUST000849,2025-09-24,196000,24,15.58,142.3
LOAN0001694,APP0003575,CUST001563,2026-05-03,46000,12,18.06,281.3
LOAN0001695,APP0003580,CUST001197,2026-03-12,63000,12,18.7,273.6
LOAN0001696,APP0003581,CUST002023,2025-12-16,43000,18,16.14,173.2
LOAN0001697,APP0003583,CUST000385,2026-03-01,9000,12,18.29,232.4
LOAN0001698,APP0003584,CUST002281,2026-01-03,179000,36,18.32,201.9
LOAN0001699,APP0003588,CUST001399,2025-09-30,54000,18,18.78,251.2
LOAN0001700,APP0003589,CUST001631,2026-04-17,168000,18,18.26,234.8
LOAN0001701,APP0003591,CUST000402,2025-12-27,42000,36,11.0,103.8
LOAN0001702,APP0003594,CUST000578,2025-10-22,33000,12,16.35,178.8
LOAN0001703,APP0003597,CUST001063,2026-03-27,186000,18,18.37,248.4
LOAN0001704,APP0003598,CUST000956,2026-02-04,42000,18,17.73,192.9
LOAN0001705,APP0003599,CUST000797,2025-12-04,50000,24,15.98,197.3
LOAN0001706,APP0003601,CUST001040,2025-11-11,205000,12,13.37,50.0
LOAN0001707,APP0003608,CUST000099,2025-11-15,83000,18,17.43,173.5
LOAN0001708,APP0003610,CUST002341,2025-09-28,103000,36,19.06,264.8
LOAN0001709,APP0003612,CUST001293,2026-02-18,82000,24,20.33,270.7
LOAN0001710,APP0003613,CUST000227,2026-05-25,35000,18,18.13,234.3
LOAN0001711,APP0003616,CUST000587,2025-08-06,168000,24,18.93,267.5
LOAN0001712,APP0003618,CUST001561,2025-11-22,69000,18,19.7,215.4
LOAN0001713,APP0003620,CUST000770,2026-03-08,49000,12,18.06,240.2
LOAN0001714,APP0003623,CUST000504,2025-12-11,150000,18,15.52,179.6
LOAN0001715,APP0003626,CUST000865,2026-01-11,55000,9,17.98,268.0
LOAN0001716,APP0003631,CUST000421,2025-07-21,59000,12,14.52,146.9
LOAN0001717,APP0003635,CUST001528,2025-10-27,112000,24,22.1,336.9
LOAN0001718,APP0003636,CUST002104,2026-01-31,286000,6,18.37,235.9
LOAN0001719,APP0003637,CUST001811,2025-12-07,79000,6,19.89,326.4
LOAN0001720,APP0003639,CUST000242,2025-10-08,90000,18,19.95,291.6
LOAN0001721,APP0003642,CUST000940,2026-03-28,132000,12,19.61,248.2
LOAN0001722,APP0003645,CUST002320,2026-05-26,95000,18,20.43,311.6
LOAN0001723,APP0003646,CUST002072,2026-06-11,102000,18,18.59,237.7
LOAN0001724,APP0003648,CUST000551,2025-09-18,75000,6,17.66,269.6
LOAN0001725,APP0003650,CUST001963,2026-03-15,113000,18,20.75,257.1
LOAN0001726,APP0003652,CUST001808,2026-02-26,72000,12,15.66,194.8
LOAN0001727,APP0003653,CUST001383,2025-07-14,63000,36,19.38,247.5
LOAN0001728,APP0003654,CUST000072,2026-03-11,72000,12,15.22,206.5
LOAN0001729,APP0003656,CUST000658,2026-02-08,63000,12,21.28,270.5
LOAN0001730,APP0003658,CUST001332,2026-06-12,155000,18,13.9,120.3
LOAN0001731,APP0003659,CUST000830,2026-03-26,41000,6,18.65,261.1
LOAN0001732,APP0003662,CUST000023,2026-04-21,142000,18,18.55,234.8
LOAN0001733,APP0003663,CUST000151,2026-04-26,28000,6,16.24,193.6
LOAN0001734,APP0003665,CUST001485,2025-10-22,135000,9,19.98,286.9
LOAN0001735,APP0003666,CUST000190,2025-11-26,61000,24,15.84,93.9
LOAN0001736,APP0003667,CUST002363,2026-06-01,117000,36,14.55,109.4
LOAN0001737,APP0003668,CUST000176,2025-08-08,135000,12,16.11,133.5
LOAN0001738,APP0003671,CUST002189,2026-06-15,91000,18,16.29,127.5
LOAN0001739,APP0003672,CUST000919,2025-12-25,102000,9,16.95,232.8
LOAN0001740,APP0003673,CUST001007,2026-05-10,10000,12,14.96,165.2
LOAN0001741,APP0003674,CUST002021,2026-06-27,8000,9,18.82,275.6
LOAN0001742,APP0003675,CUST002500,2025-08-17,96000,9,17.9,307.8
LOAN0001743,APP0003676,CUST002047,2026-05-02,69000,6,16.55,277.8
LOAN0001744,APP0003679,CUST000320,2026-01-19,45000,24,19.56,329.2
LOAN0001745,APP0003680,CUST000021,2026-01-27,149000,12,15.45,179.8
LOAN0001746,APP0003681,CUST000293,2026-03-16,26000,18,16.84,203.3
LOAN0001747,APP0003683,CUST001721,2026-01-11,44000,18,19.61,252.6
LOAN0001748,APP0003684,CUST002388,2025-07-10,31000,9,21.41,283.3
LOAN0001749,APP0003685,CUST001607,2026-03-19,140000,12,18.47,294.7
LOAN0001750,APP0003690,CUST001101,2025-11-11,53000,6,14.15,166.2
LOAN0001751,APP0003692,CUST000151,2026-05-22,153000,6,17.93,183.8
LOAN0001752,APP0003696,CUST000499,2026-01-24,57000,6,15.51,191.7
LOAN0001753,APP0003700,CUST000287,2025-11-21,116000,24,17.42,207.5
LOAN0001754,APP0003703,CUST000327,2025-09-16,45000,12,17.48,190.6
LOAN0001755,APP0003708,CUST000821,2026-04-15,68000,18,16.92,208.2
LOAN0001756,APP0003711,CUST000031,2025-10-08,71000,6,16.85,195.9
LOAN0001757,APP0003713,CUST002246,2025-10-28,148000,18,17.06,196.8
LOAN0001758,APP0003714,CUST000149,2025-10-17,184000,18,16.02,174.7
LOAN0001759,APP0003715,CUST001483,2025-12-15,143000,24,18.26,272.2
LOAN0001760,APP0003716,CUST001541,2026-06-22,47000,12,18.44,183.4
LOAN0001761,APP0003719,CUST001957,2026-06-16,114000,18,20.11,322.3
LOAN0001762,APP0003726,CUST000010,2026-03-07,41000,9,15.51,167.8
LOAN0001763,APP0003727,CUST000974,2025-08-07,89000,9,16.68,147.0
LOAN0001764,APP0003729,CUST000266,2026-04-08,98000,24,13.49,144.0
LOAN0001765,APP0003730,CUST000448,2026-02-07,105000,24,19.74,284.2
LOAN0001766,APP0003732,CUST002239,2025-11-29,94000,18,17.87,213.3
LOAN0001767,APP0003733,CUST001007,2026-03-17,85000,18,17.16,164.7
LOAN0001768,APP0003734,CUST001947,2025-09-12,36000,12,19.26,294.4
LOAN0001769,APP0003735,CUST001801,2026-04-22,143000,12,16.0,171.4
LOAN0001770,APP0003738,CUST000077,2026-05-07,153000,9,20.79,272.9
LOAN0001771,APP0003739,CUST000907,2026-04-29,106000,12,13.74,85.4
LOAN0001772,APP0003741,CUST001357,2026-04-28,98000,18,14.61,110.7
LOAN0001773,APP0003744,CUST000956,2025-11-07,199000,18,17.54,205.6
LOAN0001774,APP0003745,CUST001687,2025-12-22,89000,18,15.29,179.9
LOAN0001775,APP0003746,CUST001597,2025-07-17,40000,12,17.08,202.9
LOAN0001776,APP0003748,CUST001085,2026-01-13,186000,18,19.79,305.0
LOAN0001777,APP0003751,CUST001713,2026-02-15,38000,36,18.53,222.4
LOAN0001778,APP0003757,CUST001017,2025-10-27,103000,12,20.21,307.5
LOAN0001779,APP0003761,CUST001151,2025-12-09,26000,6,18.66,218.5
LOAN0001780,APP0003762,CUST000550,2026-03-09,95000,12,14.32,172.4
LOAN0001781,APP0003763,CUST002028,2025-10-04,75000,24,14.86,189.7
LOAN0001782,APP0003765,CUST000323,2026-06-11,53000,6,18.57,321.3
LOAN0001783,APP0003768,CUST002238,2026-02-15,49000,24,14.88,158.0
LOAN0001784,APP0003769,CUST000887,2025-11-08,37000,12,19.64,295.1
LOAN0001785,APP0003772,CUST002147,2026-06-07,40000,12,19.11,342.3
LOAN0001786,APP0003775,CUST000534,2026-01-16,35000,9,18.49,298.1
LOAN0001787,APP0003778,CUST000745,2026-05-27,50000,12,15.88,147.7
LOAN0001788,APP0003779,CUST002479,2026-01-08,124000,18,18.4,229.3
LOAN0001789,APP0003782,CUST000556,2026-06-08,54000,12,20.72,279.2
LOAN0001790,APP0003786,CUST001951,2025-07-20,97000,9,21.17,283.2
LOAN0001791,APP0003787,CUST000965,2025-10-30,156000,12,17.42,274.2
LOAN0001792,APP0003789,CUST000003,2026-01-01,61000,12,17.18,160.9
LOAN0001793,APP0003793,CUST001146,2025-09-21,131000,18,19.98,301.7
LOAN0001794,APP0003796,CUST002121,2026-04-08,59000,12,20.74,315.2
LOAN0001795,APP0003797,CUST000945,2026-01-07,72000,6,19.22,250.6
LOAN0001796,APP0003799,CUST002488,2025-11-28,112000,12,17.6,190.7
LOAN0001797,APP0003804,CUST002474,2025-09-05,167000,6,18.62,274.5
LOAN0001798,APP0003810,CUST000790,2026-04-08,186000,9,18.09,172.1
LOAN0001799,APP0003812,CUST000752,2026-02-10,90000,18,17.77,182.8
LOAN0001800,APP0003813,CUST001888,2026-05-04,47000,36,17.02,242.7
LOAN0001801,APP0003814,CUST002020,2026-03-22,71000,12,18.82,285.2
LOAN0001802,APP0003819,CUST001259,2025-11-19,156000,24,19.69,269.7
LOAN0001803,APP0003820,CUST001221,2025-09-10,172000,36,13.71,223.2
LOAN0001804,APP0003822,CUST001880,2025-10-13,131000,18,19.0,282.8
LOAN0001805,APP0003824,CUST001646,2026-01-11,65000,18,14.98,146.5
LOAN0001806,APP0003825,CUST001504,2025-11-06,57000,36,18.73,303.9
LOAN0001807,APP0003827,CUST001472,2026-03-26,29000,24,19.21,299.2
LOAN0001808,APP0003828,CUST001494,2026-05-23,105000,9,16.6,189.4
LOAN0001809,APP0003829,CUST001886,2026-05-17,65000,24,16.42,219.0
LOAN0001810,APP0003830,CUST000785,2026-03-22,180000,24,17.17,269.2
LOAN0001811,APP0003831,CUST002450,2025-11-16,197000,24,14.63,88.7
LOAN0001812,APP0003835,CUST002452,2026-02-16,42000,12,19.58,207.5
LOAN0001813,APP0003839,CUST000236,2026-01-08,75000,24,11.56,100.9
LOAN0001814,APP0003842,CUST002263,2025-12-06,98000,24,19.71,240.2
LOAN0001815,APP0003844,CUST000287,2025-10-25,66000,12,19.45,227.5
LOAN0001816,APP0003846,CUST000034,2025-10-22,99000,9,17.78,215.8
LOAN0001817,APP0003847,CUST000884,2025-07-08,129000,12,13.54,122.6
LOAN0001818,APP0003849,CUST000941,2026-03-03,152000,12,18.09,247.8
LOAN0001819,APP0003855,CUST000550,2026-02-24,97000,18,17.45,180.8
LOAN0001820,APP0003857,CUST000670,2025-10-08,203000,12,17.64,201.8
LOAN0001821,APP0003858,CUST000576,2026-02-25,32000,12,19.84,301.9
LOAN0001822,APP0003859,CUST000482,2025-11-08,97000,24,16.47,154.7
LOAN0001823,APP0003866,CUST000488,2026-03-25,71000,24,19.82,321.8
LOAN0001824,APP0003867,CUST001634,2025-12-13,139000,12,21.05,334.5
LOAN0001825,APP0003869,CUST000496,2026-04-28,65000,6,18.93,247.5
LOAN0001826,APP0003872,CUST001863,2026-04-13,129000,9,18.12,257.4
LOAN0001827,APP0003873,CUST000424,2025-10-19,175000,12,17.84,278.3
LOAN0001828,APP0003879,CUST000621,2026-06-08,44000,6,18.07,235.2
LOAN0001829,APP0003882,CUST002427,2025-11-17,65000,18,20.89,282.8
LOAN0001830,APP0003888,CUST001906,2026-01-19,146000,12,13.27,61.6
LOAN0001831,APP0003889,CUST000585,2026-04-05,80000,12,17.7,258.1
LOAN0001832,APP0003890,CUST001558,2026-02-06,91000,9,20.21,299.1
LOAN0001833,APP0003892,CUST000670,2025-08-24,48000,18,16.51,189.0
LOAN0001834,APP0003897,CUST000952,2025-08-30,53000,9,16.8,231.2
LOAN0001835,APP0003898,CUST001020,2025-12-27,156000,12,19.62,297.6
LOAN0001836,APP0003900,CUST001889,2025-12-11,55000,12,18.58,274.3
LOAN0001837,APP0003902,CUST002304,2025-12-25,155000,18,15.34,119.3
LOAN0001838,APP0003903,CUST001175,2026-06-18,41000,6,18.87,193.7
LOAN0001839,APP0003910,CUST002357,2025-08-16,63000,12,18.16,274.3
LOAN0001840,APP0003911,CUST002235,2026-01-19,60000,24,17.23,202.9
LOAN0001841,APP0003912,CUST000686,2025-10-19,59000,24,13.95,50.0
LOAN0001842,APP0003913,CUST000805,2026-04-26,108000,24,17.56,221.4
LOAN0001843,APP0003914,CUST000824,2026-03-13,68000,6,17.18,257.3
LOAN0001844,APP0003915,CUST001047,2025-11-30,60000,12,19.41,313.9
LOAN0001845,APP0003920,CUST001272,2026-05-23,184000,12,16.73,116.5
LOAN0001846,APP0003921,CUST000435,2025-09-23,159000,12,17.72,208.2
LOAN0001847,APP0003923,CUST002399,2026-04-27,83000,18,17.11,233.2
LOAN0001848,APP0003932,CUST001968,2026-03-21,187000,9,21.31,313.9
LOAN0001849,APP0003933,CUST001571,2026-03-06,56000,12,18.57,250.9
LOAN0001850,APP0003935,CUST001256,2026-02-25,57000,18,18.38,265.7
LOAN0001851,APP0003939,CUST002109,2026-04-05,64000,9,16.35,222.9
LOAN0001852,APP0003941,CUST001332,2026-02-04,62000,12,15.51,156.8
LOAN0001853,APP0003943,CUST000435,2025-09-22,31000,12,17.08,209.8
LOAN0001854,APP0003945,CUST000213,2026-03-13,51000,18,18.16,218.5
LOAN0001855,APP0003946,CUST002197,2025-11-25,133000,6,19.08,311.2
LOAN0001856,APP0003947,CUST002438,2025-08-28,49000,36,20.96,345.8
LOAN0001857,APP0003950,CUST002056,2025-10-14,104000,12,16.57,192.0
LOAN0001858,APP0003951,CUST001779,2026-07-03,76000,9,18.06,236.2
LOAN0001859,APP0003953,CUST000770,2026-03-13,212000,18,18.22,263.7
LOAN0001860,APP0003954,CUST001896,2026-06-23,151000,6,16.36,134.2
LOAN0001861,APP0003955,CUST002305,2025-07-22,143000,9,16.58,196.7
LOAN0001862,APP0003956,CUST002411,2025-10-18,90000,12,16.21,244.2
LOAN0001863,APP0003958,CUST001696,2025-12-05,92000,24,16.83,217.8
LOAN0001864,APP0003961,CUST000645,2026-05-16,42000,18,17.4,210.5
LOAN0001865,APP0003962,CUST002003,2025-07-15,44000,6,18.18,290.2
LOAN0001866,APP0003963,CUST001374,2025-12-31,8000,18,16.86,199.3
LOAN0001867,APP0003966,CUST001686,2026-05-20,106000,6,15.73,124.2
LOAN0001868,APP0003967,CUST001318,2026-06-24,102000,12,15.51,206.8
LOAN0001869,APP0003969,CUST000529,2026-04-24,38000,24,15.77,152.3
LOAN0001870,APP0003970,CUST001099,2026-06-20,49000,36,18.12,174.1
LOAN0001871,APP0003971,CUST001744,2026-03-30,57000,24,19.29,284.2
LOAN0001872,APP0003972,CUST000301,2026-01-23,82000,18,17.47,214.0
LOAN0001873,APP0003973,CUST002372,2025-10-12,83000,24,20.09,313.6
LOAN0001874,APP0003974,CUST001314,2026-04-07,56000,12,15.28,176.6
LOAN0001875,APP0003977,CUST000262,2026-06-18,43000,9,16.13,174.4
LOAN0001876,APP0003983,CUST000918,2026-05-05,112000,12,16.4,151.2
LOAN0001877,APP0003994,CUST000342,2025-09-28,154000,9,15.56,171.9
LOAN0001878,APP0003997,CUST000115,2026-03-26,71000,12,17.78,246.6
LOAN0001879,APP0003998,CUST001816,2025-12-15,94000,24,17.21,261.6
LOAN0001880,APP0004000,CUST001460,2025-08-13,269000,18,19.33,347.8
LOAN0001881,APP0004002,CUST001833,2026-05-08,80000,24,19.83,312.0
LOAN0001882,APP0004003,CUST000366,2026-05-08,144000,12,15.63,154.1
LOAN0001883,APP0004004,CUST002206,2026-06-01,147000,12,17.99,227.8
LOAN0001884,APP0004005,CUST001324,2025-11-11,59000,24,17.51,256.4
LOAN0001885,APP0004006,CUST000302,2025-09-24,42000,18,18.23,203.8
LOAN0001886,APP0004008,CUST000874,2025-10-11,129000,36,16.12,245.5
LOAN0001887,APP0004009,CUST002470,2026-01-16,137000,18,20.62,307.5
LOAN0001888,APP0004013,CUST002081,2025-07-12,40000,12,16.39,188.4
LOAN0001889,APP0004014,CUST001503,2025-08-13,57000,12,14.71,207.7
LOAN0001890,APP0004015,CUST002059,2025-10-28,63000,12,20.81,312.8
LOAN0001891,APP0004018,CUST000765,2026-01-25,170000,36,19.06,191.9
LOAN0001892,APP0004020,CUST001162,2026-05-02,112000,9,17.2,229.4
LOAN0001893,APP0004021,CUST000481,2026-06-20,55000,24,19.19,217.3
LOAN0001894,APP0004022,CUST001547,2026-06-17,190000,18,15.18,223.3
LOAN0001895,APP0004024,CUST000978,2026-05-19,98000,24,17.19,195.5
LOAN0001896,APP0004025,CUST001400,2026-03-21,69000,12,21.66,336.7
LOAN0001897,APP0004026,CUST001707,2025-07-07,67000,18,21.26,309.3
LOAN0001898,APP0004027,CUST002461,2025-12-12,47000,12,18.43,247.8
LOAN0001899,APP0004029,CUST001162,2026-01-13,137000,12,19.33,252.6
LOAN0001900,APP0004030,CUST001070,2025-11-22,56000,18,16.01,165.6
LOAN0001901,APP0004034,CUST001630,2025-10-31,68000,12,17.79,241.2
LOAN0001902,APP0004035,CUST001611,2026-05-02,73000,36,19.61,174.8
LOAN0001903,APP0004037,CUST000204,2026-02-17,103000,12,22.16,327.9
LOAN0001904,APP0004038,CUST000589,2026-06-04,70000,9,19.42,341.1
LOAN0001905,APP0004040,CUST001519,2026-06-04,99000,12,17.98,259.7
LOAN0001906,APP0004041,CUST000812,2026-02-18,263000,36,16.16,116.0
LOAN0001907,APP0004043,CUST001694,2026-03-16,59000,24,17.58,174.4
LOAN0001908,APP0004044,CUST000255,2025-08-24,93000,24,19.7,253.5
LOAN0001909,APP0004050,CUST001459,2025-07-08,49000,12,19.23,334.8
LOAN0001910,APP0004054,CUST000566,2025-08-22,121000,24,18.97,362.1
LOAN0001911,APP0004056,CUST002096,2026-05-13,139000,18,17.99,203.3
LOAN0001912,APP0004057,CUST000426,2025-09-09,163000,12,17.94,271.8
LOAN0001913,APP0004058,CUST001292,2025-07-28,100000,6,17.73,241.2
LOAN0001914,APP0004063,CUST000104,2025-07-10,189000,12,16.06,191.5
LOAN0001915,APP0004065,CUST002294,2026-02-11,56000,24,21.49,327.7
LOAN0001916,APP0004067,CUST001909,2026-02-08,61000,6,18.43,319.7
LOAN0001917,APP0004068,CUST001347,2026-03-14,115000,24,17.82,255.9
LOAN0001918,APP0004069,CUST002180,2025-11-22,134000,12,16.84,221.9
LOAN0001919,APP0004071,CUST001440,2025-12-05,85000,12,18.55,180.9
LOAN0001920,APP0004073,CUST001447,2026-02-26,211000,12,17.86,319.1
LOAN0001921,APP0004075,CUST000889,2025-11-12,53000,12,16.12,246.9
LOAN0001922,APP0004077,CUST000638,2025-07-22,87000,36,18.2,288.3
LOAN0001923,APP0004081,CUST002475,2025-08-20,38000,24,14.29,159.3
LOAN0001924,APP0004083,CUST001375,2025-12-10,133000,24,18.61,283.2
LOAN0001925,APP0004085,CUST000944,2026-04-14,94000,24,16.55,280.8
LOAN0001926,APP0004086,CUST000764,2026-03-24,155000,36,18.28,238.0
LOAN0001927,APP0004087,CUST000018,2026-04-27,66000,6,19.2,257.7
LOAN0001928,APP0004090,CUST000264,2025-12-12,213000,18,19.29,212.7
LOAN0001929,APP0004093,CUST000265,2026-04-08,63000,9,18.68,244.1
LOAN0001930,APP0004097,CUST001015,2026-02-05,150000,9,18.93,288.4
LOAN0001931,APP0004102,CUST001017,2025-10-11,9000,6,17.6,271.3
LOAN0001932,APP0004103,CUST001700,2026-05-28,112000,9,18.51,222.0
LOAN0001933,APP0004104,CUST001457,2025-08-23,159000,24,18.01,235.3
LOAN0001934,APP0004105,CUST002267,2026-07-02,96000,24,18.7,239.1
LOAN0001935,APP0004106,CUST001940,2025-09-15,78000,12,18.52,160.1
LOAN0001936,APP0004107,CUST001268,2026-04-25,93000,18,21.87,300.5
LOAN0001937,APP0004109,CUST001934,2026-02-04,48000,12,14.0,144.4
LOAN0001938,APP0004110,CUST000043,2026-04-05,65000,18,19.97,261.2
LOAN0001939,APP0004114,CUST001231,2025-08-30,99000,12,16.75,190.1
LOAN0001940,APP0004116,CUST001759,2026-03-04,42000,18,17.51,203.8
LOAN0001941,APP0004117,CUST000088,2026-01-04,52000,18,17.57,258.2
LOAN0001942,APP0004119,CUST000570,2025-12-15,61000,18,19.93,315.5
LOAN0001943,APP0004120,CUST002104,2026-05-17,26000,12,18.48,260.5
LOAN0001944,APP0004123,CUST002445,2026-02-25,188000,12,17.47,238.5
LOAN0001945,APP0004127,CUST002073,2025-09-11,94000,18,19.68,249.5
LOAN0001946,APP0004128,CUST000181,2025-11-10,88000,6,13.44,50.0
LOAN0001947,APP0004129,CUST001388,2026-05-06,34000,18,16.42,152.6
LOAN0001948,APP0004130,CUST001775,2025-07-08,55000,12,16.37,178.2
LOAN0001949,APP0004131,CUST001703,2025-08-21,93000,24,16.47,248.9
LOAN0001950,APP0004132,CUST002218,2025-08-19,95000,12,20.95,304.8
LOAN0001951,APP0004134,CUST000261,2025-09-29,354000,12,17.82,234.4
LOAN0001952,APP0004135,CUST001130,2025-12-21,34000,24,18.38,186.1
LOAN0001953,APP0004137,CUST001135,2026-03-31,61000,12,16.17,157.8
LOAN0001954,APP0004139,CUST000281,2025-10-18,49000,12,16.52,235.7
LOAN0001955,APP0004140,CUST000023,2026-04-24,170000,24,19.88,212.0
LOAN0001956,APP0004143,CUST001581,2026-01-10,59000,12,13.02,60.6
LOAN0001957,APP0004147,CUST000007,2026-03-19,142000,24,19.66,277.0
LOAN0001958,APP0004150,CUST000261,2026-03-20,110000,24,18.08,236.6
LOAN0001959,APP0004151,CUST001255,2025-12-26,33000,24,19.78,285.1
LOAN0001960,APP0004153,CUST001363,2025-12-14,250000,24,20.76,333.8
LOAN0001961,APP0004154,CUST001050,2026-05-16,75000,12,16.88,190.4
LOAN0001962,APP0004155,CUST001793,2026-05-22,118000,24,19.33,257.0
LOAN0001963,APP0004158,CUST000313,2025-09-17,170000,36,18.52,255.3
LOAN0001964,APP0004159,CUST001467,2025-07-05,91000,18,17.75,247.4
LOAN0001965,APP0004160,CUST000266,2026-03-09,97000,12,18.36,216.8
LOAN0001966,APP0004163,CUST001365,2025-09-25,120000,6,15.73,114.5
LOAN0001967,APP0004169,CUST000535,2026-02-14,117000,12,15.53,157.4
LOAN0001968,APP0004171,CUST001519,2025-10-07,142000,12,18.16,247.2
LOAN0001969,APP0004175,CUST001382,2025-11-24,155000,12,18.86,266.9
LOAN0001970,APP0004179,CUST001917,2025-11-11,46000,12,20.19,352.1
LOAN0001971,APP0004181,CUST000967,2025-09-14,112000,12,18.24,289.2
LOAN0001972,APP0004183,CUST000749,2025-08-07,70000,24,16.18,179.1
LOAN0001973,APP0004184,CUST001595,2026-03-24,75000,12,18.76,236.6
LOAN0001974,APP0004185,CUST000930,2025-11-05,83000,12,16.9,185.7
LOAN0001975,APP0004189,CUST002234,2026-05-08,62000,12,17.51,255.9
